         144 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/json/__init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/json/encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/json/encoder.py:204(iterencode)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/flask/helpers.py:145(make_response)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/flask/app.py:1690(make_response)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/wrappers.py:794(__init__)
        1    0.000    0.000    0.000    0.000 /Users/jane/Documents/Academics/capstone/PowerGridSimulator/flask-api/pgsim/pgsim.py:81(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/jane/Documents/Academics/capstone/PowerGridSimulator/flask-api/pgsim/pgsim.py:86(<listcomp>)
       35    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/wrappers.py:950(set_data)
        2    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:1231(__setitem__)
        2    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:1184(set)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/local.py:344(__getattr__)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/local.py:300(_get_current_object)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/wrappers.py:908(_set_status_code)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:1126(__contains__)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/flask/globals.py:48(_find_app)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:948(__getitem__)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/utils.py:215(get_content_type)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/local.py:160(top)
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:897(_unicodify_header_value)
        2    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:1165(_validate_value)
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/local.py:68(__getattr__)
        6    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 /anaconda3/lib/python3.6/site-packages/werkzeug/datastructures.py:940(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method greenlet.getcurrent}
        7    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /Users/jane/Documents/Academics/capstone/PowerGridSimulator/flask-api/pgsim/db_utils.py:129(is_saved)



         12066 function calls (11897 primitive calls) in 0.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.436    0.436 /Users/hiannie/Desktop/PowerGridSimulator/flask-api/pgsim/db_utils.py:131(get_saved_challenge)
        1    0.000    0.000    0.436    0.436 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/firebase_admin/db.py:505(get)
        1    0.000    0.000    0.436    0.436 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/firebase_admin/_http_client.py:92(body)
        1    0.000    0.000    0.436    0.436 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/firebase_admin/db.py:746(request)
        1    0.000    0.000    0.436    0.436 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/firebase_admin/_http_client.py:64(request)
        1    0.000    0.000    0.436    0.436 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/auth/transport/requests.py:181(request)
        2    0.000    0.000    0.391    0.195 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/sessions.py:441(request)
        2    0.000    0.000    0.356    0.178 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/sessions.py:589(send)
        2    0.000    0.000    0.355    0.178 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/requests/adapters.py:388(send)
        2    0.000    0.000    0.352    0.176 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connectionpool.py:447(urlopen)
        2    0.000    0.000    0.351    0.176 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connectionpool.py:322(_make_request)
        1    0.000    0.000    0.209    0.209 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/auth/credentials.py:103(before_request)
        1    0.000    0.000    0.209    0.209 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/service_account.py:318(refresh)
        2    0.000    0.000    0.194    0.097 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connectionpool.py:842(_validate_conn)
        2    0.000    0.000    0.194    0.097 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/connection.py:282(connect)
        2    0.000    0.000    0.176    0.088 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/urllib3/util/ssl_.py:282(ssl_wrap_socket)
        1    0.000    0.000    0.165    0.165 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/_client.py:118(jwt_grant)
        1    0.000    0.000    0.165    0.165 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/oauth2/_client.py:83(_token_endpoint_request)
        1    0.000    0.000    0.164    0.164 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/site-packages/google/auth/transport/requests.py:94(__call__)
        2    0.000    0.000    0.156    0.078 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/http/client.py:1287(getresponse)
        2    0.000    0.000    0.156    0.078 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/http/client.py:290(begin)
        2    0.000    0.000    0.155    0.077 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/http/client.py:257(_read_status)
       39    0.000    0.000    0.154    0.004 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.154    0.039 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py:572(readinto)
        4    0.000    0.000    0.154    0.039 /usr/local/Cellar/python3/3.6.4_2/Frameworks/Python.framework/Versions/3.6/lib/python3.6/ssl.py:998(recv_into)
